date,susceptible,active,recovered,deaths,confirmed,beta,gamma,mu,r0,re,cfr_recovered,cfr_confirmed
2021-04-03,52369722,71289,549775,9213,630277.0000026668,0.10060869324732205,0.03797219917097165,0.0007434526625404011,2.598656834707758,2.5677537024588757,1.6481570268362982,1.4617382517778592
2021-04-04,52362636,75615,552481,9265,637362.9999992482,0.09470373653650792,0.038774862812193486,0.0006876851488131953,2.3998383639618397,2.370978674552854,1.6494940791281414,1.4538003400921586
2021-04-05,52355561,79706,555413,9317,644437.9999997761,0.09160781548168917,0.037248925342753696,0.0008280326739546861,2.4058596130891328,2.3766063544823592,1.649986188131604,1.4459087671540471
2021-04-06,52348347,83885,558383,9384,651652.0000008715,0.09204186085345488,0.038815046423745225,0.0007510281749146079,2.326282346355695,2.2976800874709364,1.6527906694748007,1.4400324099907422
2021-04-07,52340722,88191,561638,9446,659276.9999988143,0.07869571281110307,0.038450200278013325,0.0008390783841312687,2.002981869120615,1.9780664727605808,1.654216702819857,1.4329311761460004
2021-04-08,52333867,91581,565030,9521,666132.0000017149,0.08251689876220619,0.0383376464903761,0.000687915626270164,2.1144320359964475,2.087856854083731,1.657120081736304,1.429296295750337
2021-04-09,52326406,95468,568540,9583,673592.9999980109,0.05668625577686466,0.04019105787981777,0.0008065445516419009,1.382672459240354,1.365099707938279,1.6577729728127313,1.42281552375519
2021-04-10,52321062,96898,572378,9661,678937.0000002751,0.06083210650985128,0.043468389494418364,0.0008049702015867057,1.374011525837294,1.3564103327123034,1.6598544084022142,1.4229597149837423
2021-04-11,52315243,98427,576590,9739,684756.0000013339,0.07411842267579816,0.04595283678944606,0.0008432645334080374,1.5838589237262055,1.5633956735588983,1.6610128444325543,1.4222584395940072
2021-04-12,52308043,101021,581112,9821,691955.9999992047,0.06045951771340458,0.04803904110610035,0.0006830195422761398,1.240906417110238,1.2247054690904113,1.6621117381154324,1.419452364761955
2021-04-13,52302014,102128,585966,9891,697985.00000011,0.05144715847740958,0.05221878556473221,0.0009399968789583209,0.9678016710015128,0.9550562330126017,1.6599620378830373,1.4170791636021065
2021-04-14,52296830,101883,591298,9986,703168.9999996244,0.04169805453929544,0.05805622085818242,0.0009226178927781379,0.7070002635244548,0.6976202766602183,1.6609400517789856,1.4202824352208838
2021-04-15,52292637,100067,597214,10081,707362.0000005995,0.04473751527486455,0.05690187782737752,0.001009323782016,0.7725192023576987,0.7622088539664993,1.6599840275920272,1.4251543057672051
2021-04-16,52288221,98688,602907,10181,711777.9999992577,0.03567040568965324,0.059854696030241024,0.0010234170159343714,0.5859315262054463,0.5780626198034733,1.660767587080853,1.4305001973418554
2021-04-17,52284747,96154,608815,10283,715252.0000000827,0.03898525778682578,0.06365829872009603,0.0010607983143686632,0.6023764170576278,0.5942471873876366,1.660964823023306,1.437675113112642
2021-04-18,52281049,93629,614936,10385,718950.0000001681,0.04624350647736658,0.06797039413652578,0.0011962105964333897,0.668581415206155,0.6595120821849711,1.660747040337781,1.444467626414839
2021-04-19,52276778,91424,621300,10497,723221.0000002774,0.05055643260845243,0.07449903769501687,0.000995362255197975,0.6696712953780959,0.660533212688608,1.6614513839240685,1.4514235621047573
2021-04-20,52272220,89080,628110,10587,727778.9999998289,0.04871510159489854,0.0793884219367119,0.0010664451855552958,0.6054960170509789,0.5971815619937694,1.6577448845120475,1.4548352524018764
2021-04-21,52267939,86194,635183,10683,732060.0000007257,0.047221613861487405,0.08429821192934087,0.0011369700868538012,0.5527185960993951,0.5450842271012732,1.6540582721534818,1.4593066142156246
2021-04-22,52263926,82844,642448,10781,736073.9999993917,0.04442216952947485,0.06307035070539362,0.0010622374723068396,0.6926614189714065,0.6830416447619799,1.6504140961354183,1.464662520369196
2021-04-23,52260297,81159,647674,10868,739701.9999998006,0.03370100999403855,0.06748398304414023,0.001022671290984066,0.4919377587639627,0.4850719777147336,1.6504617009865539,1.4693735187682389
2021-04-24,52257600,78297,653150,10952,742399.9999997257,0.037849618816349066,0.05493186311726502,0.0012899600747121901,0.6732193420178904,0.6637892275183878,1.6491417747184156,1.4752155172624004
2021-04-25,52254677,76817,657452,11053,745322.0000003118,0.04365120188471021,0.055209134000955756,0.0012627413157656059,0.7729724157360338,0.7621023952856104,1.653390774975846,1.4829831938744855
2021-04-26,52251372,75784,661693,11149,748627.000000028,0.04056774459108786,0.06906379996079656,0.0010292274387793032,0.5787700445555779,0.5705949168838023,1.6571473582670826,1.4893912597161625
2021-04-27,52248340,73504,666927,11228,751659.0000006858,0.040780248858660065,0.07335655145982489,0.0010475620460431497,0.5480913209918675,0.5403181857119124,1.655668689346821,1.4937624641275922
2021-04-28,52245386,70989,672318,11304,754612.9999992396,0.03345277737853515,0.06736160152412156,0.0012396112373006204,0.487641195132738,0.4806981867280337,1.653686821959432,1.4981169180210225
2021-04-29,52243044,68461,677101,11393,756955.0000010452,0.03225986910463491,0.06317465604197608,0.0008325908451996876,0.504003385140103,0.4968051510420332,1.6547711382104324,1.505109286589868
2021-04-30,52240868,66255,681425,11449,759130.9999988115,0.02223345108819509,0.048976695970350884,0.0009055784114036369,0.4457184714161197,0.4393343610370052,1.6525323433934418,1.5083015864982126
2021-05-01,52239416,64402,684670,11509,760582.999999019,0.021408731942798603,0.041255843528284174,0.0010713786859072605,0.5057910919469859,0.4985326932385816,1.6533056776801858,1.513310824304942
2021-05-02,52238056,63036,687328,11579,761943.0000013863,0.027989801274445017,0.06082238868470607,0.0010311568199765017,0.45251733018806617,0.44601183796657606,1.6567297222916006,1.5196674817112275
