date,doublingtimes
2020-04-02,-0.7000013871563197
2020-04-03,0.27999999999999997
2020-04-04,0.5444444444444445
2020-04-05,0.6222222222222222
2020-04-06,0.68
2020-04-07,1.1780487804878048
2020-04-08,1.4259259259259256
2020-04-09,1.0250000000000001
2020-04-10,2.0553191489361704
2020-04-11,4.465517241379311
2020-04-12,2.155395683453237
2020-04-13,2.18076923076923
2020-04-14,2.508612440191387
2020-04-15,3.062100456621005
2020-04-16,2.416129032258065
2020-04-17,3.9947368421052643
2020-04-18,4.081045751633984
2020-04-19,4.689102564102565
2020-04-20,3.417479674796747
2020-04-21,4.667741935483872
2020-04-22,5.973333333333333
2020-04-23,6.286473429951687
2020-04-24,5.750298210735588
2020-04-25,10.500000000000002
2020-04-26,8.279425837320565
2020-04-27,7.552112676056341
2020-04-28,7.470491803278682
2020-04-29,6.99781591263651
2020-04-30,8.748758865248226
2020-05-01,9.332924693520148
2020-05-02,10.378260869565226
2020-05-03,9.195789473684203
2020-05-04,9.56497093023257
2020-05-05,8.985114503816797
2020-05-06,9.636075949367102
2020-05-07,11.565864022662891
2020-05-08,12.213963328631856
2020-05-09,14.396226415094313
2020-05-10,10.824351747463355
2020-05-11,9.885976789168279
2020-05-12,11.29607843137253
2020-05-13,10.003614457831336
2020-05-14,11.947742555235338
2020-05-15,10.953660565723808
2020-05-16,15.062043010752662
2020-05-17,11.5150824823252
2020-05-18,9.706491885143564
2020-05-19,13.326298960831322
2020-05-20,10.851515151515137
2020-05-21,10.535138183869138
2020-05-22,11.759090909090919
2020-05-23,11.268392952482651
2020-05-24,14.632375979112242
2020-05-25,11.893265822784823
2020-05-26,21.33078902229845
2020-05-27,16.66963011031799
2020-05-28,13.192015771315898
2020-05-29,11.17197780420134
2020-05-30,16.980158730158735
2020-05-31,12.254538310412597
2020-06-01,13.846829063418726
2020-06-02,11.89831672964618
2020-06-03,13.608051948051964
2020-06-04,15.914238547255477
2020-06-05,14.234900990099021
2020-06-06,16.028804554079695
2020-06-07,16.070142180094813
2020-06-08,16.819195612431486
2020-06-09,15.11037527593821
2020-06-10,15.716206896551686
2020-06-11,16.431659868214645
2020-06-12,15.729933736675333
2020-06-13,19.96789215686279
2020-06-14,18.792581980261026
2020-06-15,19.75676024524038
2020-06-16,16.415199378560306
2020-06-17,16.491741516966037
2020-06-18,18.118459111228017
2020-06-19,22.068023435090947
2020-06-20,22.789104938271613
2020-06-21,21.553299348626417
2020-06-22,22.5794252873564
2020-06-23,23.7433763188745
2020-06-24,24.090352397458116
2020-06-25,21.749670552458124
2020-06-26,22.902378490175796
2020-06-27,26.054223744292216
2020-06-28,24.611919138881564
2020-06-29,24.01920777279529
2020-06-30,26.948098859315486
2020-07-01,26.966966887417293
2020-07-02,25.98726051256535
2020-07-03,34.44319203596659
2020-07-04,33.28342457420907
2020-07-05,40.80989773557343
2020-07-06,35.50581068416139
2020-07-07,38.28701684836481
2020-07-08,33.82450558899395
2020-07-09,35.85000000000011
2020-07-10,41.64394710071213
2020-07-11,46.49005956813093
2020-07-12,47.544073518379406
2020-07-13,41.50329138431754
2020-07-14,41.34935188112536
2020-07-15,37.64565525049553
2020-07-16,49.57014270032966
2020-07-17,45.28289386947913
2020-07-18,51.499483204134386
2020-07-19,57.506466043107224
2020-07-20,48.883094262295295
2020-07-21,47.49077526987247
2020-07-22,53.687755102041116
2020-07-23,52.254901960784
2020-07-24,59.35604395604411
2020-07-25,60.72333333333352
2020-07-26,68.03815384615356
2020-07-27,56.413888888888536
2020-07-28,53.48638513513514
2020-07-29,53.30398803589265
2020-07-30,60.29610389610363
2020-07-31,59.30176767676814
2020-08-01,75.63660754888495
2020-08-02,189.46297968397164
2020-08-03,124.25103244837887
2020-08-04,88.33868613138783
2020-08-05,64.34672192916318
2020-08-06,57.98925092374846
2020-08-07,61.283023500526454
2020-08-08,67.68042895442338
2020-08-09,71.78982710092404
2020-08-10,62.016580667354205
2020-08-11,60.85350467289752
2020-08-12,61.574056761268636
2020-08-13,71.26893389377135
2020-08-14,68.09208242950088
2020-08-15,71.96630105900114
2020-08-16,94.92574110671924
2020-08-17,74.58439306358373
2020-08-18,61.05093750000029
2020-08-19,71.9341099381145
2020-08-20,69.56970013947026
2020-08-21,83.93731778425727
2020-08-22,89.71929359823483
2020-08-23,103.80116573745508
2020-08-24,82.97014084506965
2020-08-25,81.6975638506869
2020-08-26,83.2480349344969
2020-08-27,86.80833333333447
2020-08-28,96.4135232926284
2020-08-29,100.75926794931823
2020-08-30,113.97453874538945
2020-08-31,100.06329346826062
2020-09-01,112.3381538461524
2020-09-02,85.36963594113197
2020-09-03,102.98044485634881
2020-09-04,115.98880248833406
2020-09-05,115.43215384615577
2020-09-06,142.24729899497584
2020-09-07,103.34791099000975
2020-09-08,121.09593023255837
2020-09-09,126.12911877394384
2020-09-10,122.47188160676744
2020-09-11,130.04531250000045
2020-09-12,182.75787831513284
2020-09-13,159.34485094850749
2020-09-14,130.3676600441488
2020-09-15,137.75788863108963
2020-09-16,147.80272445820646
2020-09-17,150.55360954174446
2020-09-18,156.3575600259547
2020-09-19,154.45162731333536
2020-09-20,157.25912031047488
2020-09-21,143.39682912507172
2020-09-22,157.6087989723824
2020-09-23,147.9512605041983
2020-09-24,160.8136363636332
2020-09-25,179.84887924800856
2020-09-26,225.76772151899064
2020-09-27,196.44964705882902
2020-09-28,178.65373134328587
2020-09-29,169.59052419354862
2020-09-30,176.45703342618418
2020-10-01,168.69860742705342
2020-10-02,182.9893266475599
2020-10-03,216.94610829103584
