country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-15,4,6,10,7,8,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-16,3,3,5,4,8,0
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-17,1,4,3,2,5,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-18,2,3,2,3,5,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-19,1,1,3,2,5,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-20,2,4,4,4,7,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-21,2,6,18,5,0,2
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-22,2,4,10,6,8,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-23,4,4,8,4,11,0
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-24,1,3,5,1,7,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-25,-1,0,1,2,6,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-26,0,1,5,1,7,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-27,4,6,8,5,8,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-28,7,6,16,9,6,0
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-02-29,6,6,14,8,11,0
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-01,5,6,5,5,12,0
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-02,3,6,3,3,8,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-03,2,3,2,3,7,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-04,4,5,5,5,8,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-05,7,9,6,9,11,0
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-06,-10,-8,-9,-7,-4,2
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-07,8,8,11,10,13,-1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-08,9,9,10,9,13,-1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-09,5,8,6,4,6,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-10,5,7,5,6,8,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-11,4,6,5,5,9,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-12,4,7,4,5,11,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-13,5,7,6,5,7,2
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-14,0,3,3,2,11,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-15,5,6,5,4,13,0
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-16,4,9,4,5,9,1
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-17,-6,3,7,-5,-33,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-18,-6,5,-2,-2,0,3
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-19,-12,3,-9,-9,1,5
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-20,-24,-2,-18,-17,4,7
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-21,-25,-5,-14,-19,0,8
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-22,-25,-8,-13,-22,-5,7
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-23,-31,-7,-16,-26,-14,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-24,-35,-9,-15,-22,-20,10
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-25,-53,-26,-17,-37,-36,13
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-26,-73,-51,-31,-70,-66,27
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-27,-71,-47,-35,-67,-38,19
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-28,-71,-48,-28,-66,-54,24
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-29,-68,-46,-26,-66,-60,24
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-30,-69,-45,-26,-66,-61,24
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-03-31,-67,-43,-25,-65,-60,23
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-01,-67,-44,-25,-64,-59,23
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-02,-70,-49,-31,-68,-59,25
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-03,-70,-46,-34,-66,-35,17
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-04,-69,-46,-29,-64,-51,22
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-05,-67,-44,-29,-64,-54,22
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-06,-71,-49,-31,-68,-60,24
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-07,-72,-50,-31,-70,-63,25
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-08,-73,-51,-31,-70,-63,26
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-09,-75,-54,-36,-73,-63,28
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-10,-77,-56,-40,-73,-43,21
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-11,-76,-55,-34,-72,-58,25
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-12,-73,-54,-32,-71,-61,24
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-13,-74,-53,-31,-71,-63,26
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-14,-75,-55,-32,-73,-66,27
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-15,-75,-56,-32,-72,-62,26
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-16,-74,-54,-32,-72,-59,27
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-17,-75,-54,-36,-72,-38,20
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-18,-75,-55,-35,-71,-55,25
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-19,-72,-53,-34,-70,-59,24
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-20,-74,-54,-33,-71,-61,25
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-21,-73,-53,-32,-70,-61,25
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-22,-73,-53,-33,-70,-60,25
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-23,-73,-53,-36,-71,-58,26
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-24,-73,-50,-41,-69,-35,18
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-25,-75,-54,-38,-70,-54,26
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-26,-73,-56,-39,-71,-56,25
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-27,-73,-53,-36,-70,-56,25
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-28,-72,-54,-36,-69,-55,24
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-29,-71,-51,-33,-67,-53,24
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-04-30,-71,-51,-36,-69,-50,26
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-01,-74,-53,-42,-69,-33,19
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-02,-72,-52,-36,-67,-42,23
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-03,-67,-48,-35,-65,-47,22
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-04,-68,-48,-34,-65,-49,22
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-05,-68,-48,-35,-64,-48,22
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-06,-68,-48,-33,-64,-52,22
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-07,-66,-44,-36,-63,-43,22
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-08,-67,-43,-38,-62,-21,16
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-09,-64,-42,-33,-59,-34,20
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-10,-57,-37,-32,-55,-37,19
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-11,-58,-36,-30,-55,-40,19
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-12,-56,-35,-30,-54,-40,19
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-13,-59,-39,-31,-56,-40,20
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-14,-57,-35,-32,-56,-36,20
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-15,-59,-34,-35,-54,-11,15
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-16,-55,-32,-28,-51,-27,18
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-17,-53,-32,-29,-51,-34,18
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-18,-54,-31,-28,-50,-38,19
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-19,-53,-31,-29,-49,-39,18
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-20,-57,-37,-34,-54,-42,18
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-21,-63,-45,-40,-62,-51,19
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-22,-52,-24,-35,-48,-10,12
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-23,-51,-23,-26,-48,-39,19
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-24,-46,-15,-20,-45,-52,20
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-25,-62,-41,-3,-57,-62,18
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-26,-65,-43,-14,-58,-62,19
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-27,-68,-50,-26,-62,-55,18
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-28,-59,-36,-22,-55,-44,18
BD,Bangladesh,,,,,,ChIJp4vhgO2qrTARa_zhxOAoLQ8,2020-05-29,-60,-33,-27,-51,-18,13
