date,susceptible,active,recovered,deaths,confirmed,beta,gamma,mu,r0,re,cfr_recovered,cfr_confirmed
2020-03-08,52999997,2,0,0,2.9757522256157714,0.4,0.035,0.005,10.0,10.0,50.754931828859995,-0.21470392459695592
2020-03-09,52999997,2,0,0,2.9848992336715385,-0.08731332016023685,0.00578320186828404,0.005710136812636555,-7.5968630686208245,-7.596863068004253,51.74335052350758,-0.3773384647712666
2020-03-10,52999997,2,0,0,2.984096559148392,-0.08768376399409074,0.004552634371273864,0.005809778260147655,-8.461713223830795,-8.46171322343847,53.57487363085289,-0.4126200388838653
2020-03-11,52999997,2,0,0,2.9411875433757215,-0.07085574728560788,0.010545247643432412,0.015789570277134905,-2.6905728947634007,-2.6905728979106267,49.13023545200829,-1.162765441197758
2020-03-12,52999997,2,0,0,2.893685634005159,-0.014074569302824164,0.030673260484502904,0.03993942984742189,-0.1993206778649091,-0.19932067830077227,41.27791766744765,-1.409023041400651
2020-03-13,52999997,2,0,0,2.9092024533380423,0.13500060257727955,0.05921020531727997,0.05035473528451271,1.2321514695830604,1.2321514705882504,-89.5744743163253,0.5788165239274649
2020-03-14,52999996,3,0,0,3.323475681590692,0.42935579556786657,0.052377210517822986,-0.05667238153802347,-99.96244469628267,-99.96244378943148,63.930666399101455,3.6726356202785735
2020-03-15,52999994,4,0,0,5.128281427696601,0.461961379132996,0.3254942934913547,-0.004755109433062676,1.440302283269006,1.440302225339671,-15.459277979548917,-0.5338274028983682
2020-03-16,52999992,5,1,0,7.787546674721772,0.414792817048866,0.19990170318101647,0.04150519534807686,1.7182310015837303,1.7182308476881152,-3.965165868110456,-0.9221346236334894
2020-03-17,52999989,7,3,0,10.120983977639503,0.46905464707340727,-0.006927121849239132,0.10134356004560997,4.967934144029559,4.967933460350445,4.499101533540777,1.3852206643463512
2020-03-18,52999986,9,2,0,12.908363951076094,0.3114049908147004,0.003236282596037126,0.012415804899033892,19.89542870321704,19.89542463409662,23.231023688046733,6.523598748366279
2020-03-19,52999983,12,2,0,15.97847826991956,0.23920727737496766,0.0041082803209360405,0.006032353817210111,23.588986064997517,23.58897983308985,24.91133641554123,5.8499846876908395
2020-03-20,52999979,16,3,1,20.079025381288325,0.2857386927028467,-0.005710279878874873,0.05400006831585832,5.917165967204974,5.917164050919466,25.78638457099042,5.237541329244413
2020-03-21,52999975,19,2,1,23.89687621073127,0.11423199798148986,0.004469522304368876,0.006563406199170965,10.353733185603378,10.35372891420789,39.60222338190393,7.8015347616671065
2020-03-22,52999972,22,3,2,27.064987404700624,0.26489602996829903,-0.0009801663201528723,0.04293693432925254,6.313547075667217,6.313544200084537,40.30072311092092,7.539559951826002
2020-03-23,52999966,27,3,2,32.016974020970906,0.2152389836597234,0.07190275710199785,0.035772207317205124,1.9989696288335828,1.9989684955529852,49.90295182227354,9.085731493278166
2020-03-24,52999961,29,4,3,37.92326308220886,0.007276881131706686,0.07016020179350267,0.03554649716097156,0.06884030249436408,0.06884025583222231,44.46128982666565,10.210179317033134
2020-03-25,52999960,27,7,5,39.07653513997831,0.17802920350814017,0.14471061188869766,-0.0011265464812934417,1.2398952697362455,1.2398944244639254,41.62209330776391,12.84996840632538
2020-03-26,52999956,27,10,5,43.9709107365461,0.14195859013925846,0.0015921197904415763,-0.0006201529773805322,146.05291891827463,146.0528059268438,31.308110023112683,11.373248877088379
2020-03-27,52999952,31,11,4,46.997782943997485,-0.0010743541398096912,0.12377188048504796,0.0006111539628865206,-0.008637465266691216,-0.008637457930444905,31.17182851809323,10.393316159243279
2020-03-28,52999952,27,14,5,47.97552595546737,0.0006780807033359981,0.0017514270238874752,-1.0979512292099629e-05,0.38960135184682343,0.3896010209923666,25.03841491796737,10.425951938753116
